source_code,source_name,relation_code,relation_type,target_code,target_name,relation_group,direction
C167238,Advanced Colon Carcinoma,R139,Disease_Excludes_Abnormal_Cell,C36937,Neoplastic Smooth Muscle Cell,role,out
C167238,Advanced Colon Carcinoma,R142,Disease_Excludes_Finding,C36122,Benign Cellular Infiltrate,role,out
C167238,Advanced Colon Carcinoma,R142,Disease_Excludes_Finding,C155862,Intermediate Grade Neuroendocrine Lesion,role,out
C167238,Advanced Colon Carcinoma,R142,Disease_Excludes_Finding,C36162,Localized Disease,role,out
C167238,Advanced Colon Carcinoma,R142,Disease_Excludes_Finding,C155864,Low Grade Neuroendocrine Lesion,role,out
C167238,Advanced Colon Carcinoma,R142,Disease_Excludes_Finding,C155861,Well Differentiated Neuroendocrine Lesion,role,out
C167238,Advanced Colon Carcinoma,R105,Disease_Has_Abnormal_Cell,C12917,Malignant Cell,role,out
C167238,Advanced Colon Carcinoma,R105,Disease_Has_Abnormal_Cell,C36779,Malignant Epithelial Cell,role,out
C167238,Advanced Colon Carcinoma,R105,Disease_Has_Abnormal_Cell,C12922,Neoplastic Cell,role,out
C167238,Advanced Colon Carcinoma,R105,Disease_Has_Abnormal_Cell,C36753,Neoplastic Epithelial Cell,role,out
C167238,Advanced Colon Carcinoma,R100,Disease_Has_Associated_Anatomic_Site,C12382,Colon,role,out
C167238,Advanced Colon Carcinoma,R100,Disease_Has_Associated_Anatomic_Site,C54189,Colorectal Region,role,out
C167238,Advanced Colon Carcinoma,R100,Disease_Has_Associated_Anatomic_Site,C12378,Digestive System,role,out
C167238,Advanced Colon Carcinoma,R100,Disease_Has_Associated_Anatomic_Site,C12736,Intestine,role,out
C167238,Advanced Colon Carcinoma,R100,Disease_Has_Associated_Anatomic_Site,C12379,Large Intestine,role,out
